seed,event,dose,A_test_delta,B_test_delta
2,47,-0.5,0.01744324991033641,0.004022066923634715
2,47,-0.25,0.007515360392431503,0.0008846470218858982
2,47,0.0,0.0,0.0
2,47,0.25,-0.005161315309005987,0.001323660770744639
2,47,0.5,-0.008031760984670955,0.004804804511514105
2,47,1.0,-0.007172991567385711,0.018014343227412744
2,48,-1.0,0.014331843092470986,-0.01785263707260787
2,48,-0.5,-0.00234098304335828,-0.018181971550791265
2,48,-0.25,-0.003522412638311656,-0.011388033060948044
2,48,0.0,0.0,0.0
2,48,0.25,0.008124346687507333,0.015897697472940342
2,48,0.5,0.020713374663370976,0.036180921008941436
2,48,1.0,0.058572263519772405,0.08924714127471078
3,20,-1.0,-0.014451594412960733,-0.011106037520290213
3,20,-0.5,-0.008274141409627012,-0.00683297951657813
3,20,-0.25,-0.004390761844229374,-0.003726002883759849
3,20,0.0,0.0,0.0
3,20,0.25,0.004884259988627404,0.0043247906310783235
3,20,0.5,0.010250115140178373,0.00922623768825176
3,20,1.0,0.022395879378956374,0.020672382150034696
3,21,-1.0,-0.014869069764622433,0.015486341348704025
3,21,-0.5,-0.0074803642229805956,0.007338065810665595
3,21,-0.25,-0.003745961663901287,0.0035782219048222097
3,21,0.0,0.0,0.0
3,21,0.25,0.003751949784427666,-0.0034137375999283015
3,21,0.5,0.007515553353453108,-0.0066678583114975765
3,21,1.0,0.01517404618272905,-0.012627878415483795
3,22,-1.0,0.0001092173145696429,0.05042869635002695
3,22,-0.5,-0.0005672586239417465,0.024204382158400928
3,22,-0.25,-0.00045037287146854066,0.011847806153009566
3,22,0.0,0.0,0.0
3,22,0.25,0.0008082426011348787,-0.011341343971815077
3,22,0.5,0.0019985350760242104,-0.022187536841030198
3,22,1.0,0.005644793871267262,-0.042461934019851155
3,46,-1.0,0.002610881884636984,0.10578719047492219
3,46,-0.5,-0.006571631137446354,0.044696924903433466
3,46,-0.25,-0.005307121541330506,0.020249926846341415
3,46,0.0,0.0,0.0
3,46,0.25,0.009410366403199921,-0.015994799811754057
3,46,0.5,0.022947980830596293,-0.027710254963544734
3,46,1.0,0.06232480050545519,-0.03838006113288017
3,47,-1.0,-0.05369404642028297,0.05877906142806072
3,47,-0.5,-0.039817020072479226,0.015795494210017913
3,47,-0.25,-0.023056250149852353,0.004580431027491283
3,47,0.0,0.0,0.0
3,47,0.25,0.029106943228317306,0.0018362675835127407
3,47,0.5,0.06397918691827365,0.009822455485284487
3,47,1.0,0.14968298191647544,0.04296634640953423
3,48,-1.0,-0.09399855657688372,-0.03682953329373301
3,48,-0.5,-0.050157740752442725,-0.022152487917593444
3,48,-0.25,-0.02580934890978348,-0.011944682470083068
3,48,0.0,0.0,0.0
3,48,0.25,0.027153843914814013,0.01355105351860525
3,48,0.5,0.0555384583056302,0.028581151832418605
3,48,1.0,0.11556895271617296,0.06258873024037287
